Sampling apparatus,Device Opening Dimension (cm),Min particle size um,Max particle size um,Sampling location,System,freshwater_saltwater,Single Measurement conc (#/m3),Minimum conc (#/m3),Mean conc (#/m3),Median conc (#/m3),Maximum conc (#/m3),"Standard
deviation conc (#/m3)",Probability distribution,Reference
"Bottles of 1.85 L, filtration at 450 nm.",,0.45,5000,"Snake and Columbia Rivers, USA",River,Freshwater,0.00E+00,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Kapp and Yeatman (2018)
"Bottles of 1.85 L, filtration at 450 nm.",,0.45,5000,"Snake and Columbia Rivers, USA",River,Freshwater,0.00E+00,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Kapp and Yeatman (2018)
"Bottles of 1.85 L, filtration at 450 nm.",,0.45,5000,"Snake and Columbia Rivers, USA",River,Freshwater,0.00E+00,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Kapp and Yeatman (2018)
"Bottles of 1.85 L, filtration at 450 nm.",,0.45,5000,"Snake and Columbia Rivers, USA",River,Freshwater,0.00E+00,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Kapp and Yeatman (2018)
"Bottles of 1.85 L, filtration at 450 nm.",,0.45,5000,"Snake and Columbia Rivers, USA",River,Freshwater,0.00E+00,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Kapp and Yeatman (2018)
"Bottles of 1.85 L, filtration at 450 nm.",,0.45,5000,"Snake and Columbia Rivers, USA",River,Freshwater,0.00E+00,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Kapp and Yeatman (2018)
"Bottles of 1.85 L, filtration at 450 nm.",,0.45,5000,"Snake and Columbia Rivers, USA",River,Freshwater,0.00E+00,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Kapp and Yeatman (2018)
Plankton net: 100 μm mesh size,,100,5000,"Snake and Columbia Rivers, USA",River,Freshwater,0.00E+00,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Kapp and Yeatman (2018)
Plankton net: 100 μm mesh size,,100,5000,"Snake and Columbia Rivers, USA",River,Freshwater,0.00E+00,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Kapp and Yeatman (2018)
"Handnets (mesh sizes 800 and 500 μm), manta trawl net (mesh size 333 μm), streambed sampler (mesh size 333 μm), rectangular net (mesh size 333 μm)",,800,5000,"San Gabriel River, CA, USA",River,Freshwater,0.00E+00,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Moore et al. (2011)
"Manta trawl: 16 cm high, 333 μm mesh size.",16,333,5000,"Lake Huron, USA",Lake,Freshwater,2.85E-03,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Eriksen et al. (2013)
"Trawl net (16 x 61 cm), mesh size 333 μm",16,333,5000,"Lake Hovsgol, Mongolia",Lake,Freshwater,6.23E-03,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Free et al. (2014)
"Manta trawl: 16 cm high, 333 μm mesh size.",16,333,5000,"Lake Huron, USA",Lake,Freshwater,7.68E-03,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Eriksen et al. (2013)
"Manta trawl: 16 cm high, 333 μm mesh size.",16,333,5000,"Lake Superior, USA",Lake,Freshwater,7.98E-03,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Eriksen et al. (2013)
"Manta trawl: 16 cm high, 333 μm mesh size.",16,333,5000,"Lake Huron, USA",Lake,Freshwater,1.06E-02,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Eriksen et al. (2013)
"Manta trawl: 16 cm high, 333 μm mesh size.",16,333,5000,"Lake Huron, USA",Lake,Freshwater,1.38E-02,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Eriksen et al. (2013)
"Manta trawl: 16 cm high, 333 μm mesh size.",16,333,5000,"Lake Superior, USA",Lake,Freshwater,1.64E-02,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Eriksen et al. (2013)
"Manta trawl: 16 cm high, 333 μm mesh size.",16,333,5000,"Lake Superior, USA",Lake,Freshwater,2.21E-02,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Eriksen et al. (2013)
"Manta trawl: 16 cm high, 333 μm mesh size.",16,333,5000,"Lake Erie, USA",Lake,Freshwater,2.93E-02,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Eriksen et al. (2013)
