source,source.doi,Reference,author, year,doi,System,zone, Sampling.location,unaligned.particle.L.master,unaligned.particle.kg.master,fiber.percentage,frequent.polymer,sample.matrix,Min.particle.size.um,Max.particle.size.um,Lowest_size_of_fitration_um,Lowest_size_reported_um
Koutnik,https://doi.org/10.1016/j.envpol.2021.116552,Adu-Boahen et al. 2020,Adu-Boahen et al. ,2020,https://doi.org/10.1007/s10708-020-10273-6,River,Conveyer Zone,Ghana,0.012000,,,PE,water,,,20,
Koutnik,https://doi.org/10.1016/j.envpol.2021.116552,Adu-Boahen et al. 2020,Adu-Boahen et al. ,2020,https://doi.org/10.1007/s10708-020-10273-6,River,Conveyer Zone,Ghana,0.014000,,,PE,water,,,20,
Koutnik,https://doi.org/10.1016/j.envpol.2021.116552,Adu-Boahen et al. 2020,Adu-Boahen et al. ,2020,https://doi.org/10.1007/s10708-020-10273-6,River,Conveyer Zone,Ghana,0.015000,,,PE,water,,,20,
Koutnik,https://doi.org/10.1016/j.envpol.2021.116552,Adu-Boahen et al. 2020,Adu-Boahen et al. ,2020,https://doi.org/10.1007/s10708-020-10273-6,River,Conveyer Zone,Ghana,0.020000,,,PE,water,,,20,
Koutnik,https://doi.org/10.1016/j.envpol.2021.116552,Adu-Boahen et al. 2020,Adu-Boahen et al. ,2020,https://doi.org/10.1007/s10708-020-10273-6,River,Conveyer Zone,Ghana,0.024000,,,PE,water,,,20,
Koutnik,https://doi.org/10.1016/j.envpol.2021.116552,Alam et al. 2019,Alam et al. ,2019,https://doi.org/10.1016/j.chemosphere.2019.02.188,River,Conveyer Zone,Indonesia,4.330000,,,,water,50,,1.2,50
Koutnik,https://doi.org/10.1016/j.envpol.2021.116552,Alam et al. 2019,Alam et al. ,2019,https://doi.org/10.1016/j.chemosphere.2019.02.188,River,Conveyer Zone,Indonesia,5.330000,,,,water,50,,1.2,50
Koutnik,https://doi.org/10.1016/j.envpol.2021.116552,Alam et al. 2019,Alam et al. ,2019,https://doi.org/10.1016/j.chemosphere.2019.02.188,River,Conveyer Zone,Indonesia,5.330000,,,,water,50,,1.2,50
Koutnik,https://doi.org/10.1016/j.envpol.2021.116552,Alam et al. 2019,Alam et al. ,2019,https://doi.org/10.1016/j.chemosphere.2019.02.188,River,Conveyer Zone,Indonesia,5.670000,,,,water,50,,1.2,50
Koutnik,https://doi.org/10.1016/j.envpol.2021.116552,Alam et al. 2019,Alam et al. ,2019,https://doi.org/10.1016/j.chemosphere.2019.02.188,River,Conveyer Zone,Indonesia,6.000000,,,,water,50,,1.2,50
Koutnik,https://doi.org/10.1016/j.envpol.2021.116552,Alam et al. 2019,Alam et al. ,2019,https://doi.org/10.1016/j.chemosphere.2019.02.188,River,Conveyer Zone,Indonesia,6.000000,,,,water,50,,1.2,50
Koutnik,https://doi.org/10.1016/j.envpol.2021.116552,Alam et al. 2019,Alam et al. ,2019,https://doi.org/10.1016/j.chemosphere.2019.02.188,River,Conveyer Zone,Indonesia,6.000000,,,,water,50,,1.2,50
Koutnik,https://doi.org/10.1016/j.envpol.2021.116552,Alam et al. 2019,Alam et al. ,2019,https://doi.org/10.1016/j.chemosphere.2019.02.188,River,Conveyer Zone,Indonesia,6.330000,,,,water,50,,1.2,50
Koutnik,https://doi.org/10.1016/j.envpol.2021.116552,Alam et al. 2019,Alam et al. ,2019,https://doi.org/10.1016/j.chemosphere.2019.02.188,River,Conveyer Zone,Indonesia,7.000000,,,,water,50,,1.2,50
Koutnik,https://doi.org/10.1016/j.envpol.2021.116552,Alam et al. 2019,Alam et al. ,2019,https://doi.org/10.1016/j.chemosphere.2019.02.188,River,Conveyer Zone,Indonesia,7.000000,,,,water,50,,1.2,50
Koutnik,https://doi.org/10.1016/j.envpol.2021.116552,Alfonso et al. 2020,Alfonso et al. ,2020,https://doi.org/10.1016/j.scitotenv.2020.139385,Lake,Boundary Zone,Argentina,0.000294,,0.92,PET,water,200,,8,200
Koutnik,https://doi.org/10.1016/j.envpol.2021.116552,Alfonso et al. 2020,Alfonso et al. ,2020,https://doi.org/10.1016/j.scitotenv.2020.139385,Lake,Boundary Zone,Argentina,0.000391,,0.90,PET,water,200,,8,200
Koutnik,https://doi.org/10.1016/j.envpol.2021.116552,Alfonso et al. 2020,Alfonso et al. ,2020,https://doi.org/10.1016/j.scitotenv.2020.139385,Lake,Boundary Zone,Argentina,0.000525,,0.88,PET,water,200,,8,200
Koutnik,https://doi.org/10.1016/j.envpol.2021.116552,Alfonso et al. 2020,Alfonso et al. ,2020,https://doi.org/10.1016/j.scitotenv.2020.139385,Lake,Boundary Zone,Argentina,0.000667,,0.88,PET,water,200,,8,200
Koutnik,https://doi.org/10.1016/j.envpol.2021.116552,Alfonso et al. 2020,Alfonso et al. ,2020,https://doi.org/10.1016/j.scitotenv.2020.139385,Lake,Boundary Zone,Argentina,0.000943,,0.96,PET,water,200,,8,200
Koutnik,https://doi.org/10.1016/j.envpol.2021.116552,Alfonso et al. 2020,Alfonso et al. ,2020,https://doi.org/10.1016/j.scitotenv.2020.139385,Lake,Boundary Zone,Argentina,0.000952,,0.89,PET,water,200,,8,200
Koutnik,https://doi.org/10.1016/j.envpol.2021.116552,Alfonso et al. 2020,Alfonso et al. ,2020,https://doi.org/10.1016/j.scitotenv.2020.139385,Lake,Boundary Zone,Argentina,0.001112,,0.92,PET,water,200,,8,200
Koutnik,https://doi.org/10.1016/j.envpol.2021.116552,Alfonso et al. 2020,Alfonso et al. ,2020,https://doi.org/10.1016/j.scitotenv.2020.139385,Lake,Boundary Zone,Argentina,0.001690,,0.66,PET,water,200,,8,200
Koutnik,https://doi.org/10.1016/j.envpol.2021.116552,Alfonso et al. 2020,Alfonso et al. ,2020,https://doi.org/10.1016/j.scitotenv.2020.139385,Lake,Boundary Zone,Argentina,0.001912,,0.94,PET,water,200,,8,200
Koutnik,https://doi.org/10.1016/j.envpol.2021.116552,Ambrosini et al. 2019,Ambrosini et al. ,2019,https://doi.org/10.1016/j.envpol.2019.07.005,Glacier & Snow,Source Zone,Italy,37.000000,,1.00,PET,water,100,,0.45,100
Koutnik,https://doi.org/10.1016/j.envpol.2021.116552,Ambrosini et al. 2019,Ambrosini et al. ,2019,https://doi.org/10.1016/j.envpol.2019.07.005,Glacier & Snow,Source Zone,Italy,38.000000,,0.50,PET,water,100,,0.45,100
Koutnik,https://doi.org/10.1016/j.envpol.2021.116552,Ambrosini et al. 2019,Ambrosini et al. ,2019,https://doi.org/10.1016/j.envpol.2019.07.005,Glacier & Snow,Source Zone,Italy,39.000000,,1.00,PET,water,100,,0.45,100
Koutnik,https://doi.org/10.1016/j.envpol.2021.116552,Ambrosini et al. 2019,Ambrosini et al. ,2019,https://doi.org/10.1016/j.envpol.2019.07.005,Glacier & Snow,Source Zone,Italy,58.000000,,0.33,PET,water,100,,0.45,100
Koutnik,https://doi.org/10.1016/j.envpol.2021.116552,Ambrosini et al. 2019,Ambrosini et al. ,2019,https://doi.org/10.1016/j.envpol.2019.07.005,Glacier & Snow,Source Zone,Italy,136.000000,,0.86,PET,water,100,,0.45,100
Koutnik,https://doi.org/10.1016/j.envpol.2021.116552,Ambrosini et al. 2019,Ambrosini et al. ,2019,https://doi.org/10.1016/j.envpol.2019.07.005,Glacier & Snow,Source Zone,Italy,138.000000,,0.43,PET,water,100,,0.45,100
Koutnik,https://doi.org/10.1016/j.envpol.2021.116552,Amrutha and Warrier 2020,Amrutha and Warrier ,2020,https://doi.org/10.1016/ j.scitotenv.2020.140377,River,Conveyer Zone,India,0.027000,,0.00,PE,water,300,,300,300
Koutnik,https://doi.org/10.1016/j.envpol.2021.116552,Amrutha and Warrier 2020,Amrutha and Warrier ,2020,https://doi.org/10.1016/ j.scitotenv.2020.140377,River,Conveyer Zone,India,0.032000,,0.50,PE,water,300,,300,300
Koutnik,https://doi.org/10.1016/j.envpol.2021.116552,Amrutha and Warrier 2020,Amrutha and Warrier ,2020,https://doi.org/10.1016/ j.scitotenv.2020.140377,River,Conveyer Zone,India,0.036000,,0.67,PE,water,300,,300,300
Koutnik,https://doi.org/10.1016/j.envpol.2021.116552,Amrutha and Warrier 2020,Amrutha and Warrier ,2020,https://doi.org/10.1016/ j.scitotenv.2020.140377,River,Conveyer Zone,India,0.036000,,1.00,PE,water,300,,300,300
Koutnik,https://doi.org/10.1016/j.envpol.2021.116552,Amrutha and Warrier 2020,Amrutha and Warrier ,2020,https://doi.org/10.1016/ j.scitotenv.2020.140377,River,Conveyer Zone,India,0.039000,,0.70,PE,water,300,,300,300
