"","Group","Species","Most Sensitive Concentration mg/L","Min Conc. Broad Endpoint","Min Conc. Specfic Endpoint","Min Environment","DOI","Minimum Effect Concentration","95% Lower CI Effect Concentration","1st Quartile Effect Concentration","Average Effect Concentration","Median Effect Concentration","3rd Quartile Effect Concentration","95% Upper CI Concentration","Maximum Observed Effect Concentration","Std Dev Effect Concentration","Number of doses with Effects","Min Concentration Tested (with or without effects)","Max Concentration Tested (with or without effects)","Total # Doses Considered"
"1","Crustacea","Acartia clausi","1.67","fitness","mortality","Marine","10.1016/j.jhazmat.2018.07.101","1","0.36","1","1.67","1","2","2.97","3","1.15","3","1","3","3"
"2","Crustacea","Amphibalanus amphitrite","0.177","behavioral.sense.neuro","nervous.system","Marine","10.1016/j.ecoenv.2017.07.036","0.00005","-0.146","0.00005","0.177","0.00502","0.04","0.5","1","0.404","6","0.00005","1","6"
"3","Crustacea","Artemia franciscana","0.152","behavioral.sense.neuro","nervous.system","Marine","10.1016/j.ecoenv.2017.07.036","0.00005","-0.126","0.000075","0.152","0.0005","0.03","0.429","1","0.375","7","0.00005","1","7"
"4","Crustacea","Carcinus maenas","1.36","circulatory.respiratory","blood","Marine","10.1021/acs.est.6b01187","0.143","0.77","0.143","1.36","1.43","2.87","1.95","2.87","1.24","17","0.1434","2.868","17"
"5","Crustacea","Ceriodaphnia dubia","0.0669","fitness","mortality","Freshwater","10.1016/j.envpol.2018.04.069","5.49e-7","0.0304","0.000401","0.0669","0.0134","0.1","0.103","0.4","0.104","31","5.49e-7","0.4","31"
"6","Algae","Chaetoceros neogracile","1.92","fitness","growth","Marine","10.1016/j.envpol.2017.05.047","0.0396","1.52","1.25","1.92","2.5","2.5","2.32","2.5","0.793","15","0.0396","2.5","15"
"7","Algae","Chlorella pyrenoidosa","72.1","fitness","growth","Freshwater","10.1016/j.chemosphere.2018.05.170","5","44.1","50","72.1","100","100","100","100","37.8","7","5","100","7"
"8","Mollusca","Crassostrea gigas","0.468","fitness","growth","Marine","10.1021/acs.est.5b04099","0.000011","0.0781","0.0115","0.468","0.0115","0.121","0.858","2.5","0.954","23","0.000011","2.5","23"
"9","Mollusca","Crepidula onyx","1.86","fitness","growth","Marine","10.1016/j.envpol.2017.10.095","0.00024","0.139","0.541","1.86","2.04","3.36","3.58","3.36","1.76","4","0.0002402","3.363","4"
"10","Fish","Danio rerio","0.0854","immune","chemokines.cytokines","Freshwater","10.1016/j.aquaculture.2017.11.005","0.0000056","0.0269","0.0025","0.0854","0.01","0.1","0.144","1","0.202","46","0.000005602","1","46"
"11","Crustacea","Daphnia magna","4.84","fitness","mortality","Freshwater","10.1016/j.envpol.2018.04.069","3.75e-7","0.765","0.00102","4.84","0.57","1.28","8.92","46.9","13.6","43","3.75e-7","46.91","43"
"12","Crustacea","Daphnia pulex","0.383","fitness","mortality","Freshwater","10.1016/j.envpol.2018.04.069","3.48e-7","0.0545","9.1e-7","0.383","0.000368","1.01","0.711","1.34","0.627","14","3.48e-7","1.338","14"
"13","Mollusca","Dreissena polymorpha","0.0291","metabolism","oxidative.stress","Freshwater","10.1016/j.scitotenv.2018.03.075","0.00466","0.0208","0.0291","0.0291","0.0373","0.0373","0.0375","0.0373","0.0148","12","0.004661","0.03728","12"
"14","Algae","Dunaliella tertiolecta","250","metabolism","photosynthesis","Marine","10.1016/j.aquatox.2015.12.002","250","250","250","250","250","250","250","250","0","2","250","250","2"
"15","Crustacea","Gammarus fossarum","0.0287","behavioral.sense.neuro","feeding","Freshwater","10.1007/s11356-016-7584-2","0.0287","0.0287","0.0287","0.0287","0.0287","0.0287","0.0287","0.0287","0","3","0.02868","0.02868","3"
"16","Algae","Heterocapsa triquetra","0.0396","fitness","growth","Freshwater","10.1016/j.envpol.2017.05.047","0.0396","","0.0396","0.0396","0.0396","0.0396","","0.0396","","1","0.0396","0.0396","1"
"17","Algae","Karenia mikimotoi","57.9","metabolism","photosynthesis","Marine","10.1016/j.envpol.2019.01.114","2.5","25.3","26.2","57.9","50","100","90.4","100","43.9","7","2.5","100","7"
"18","Mollusca","Mytilus galloprovincialis","2.17","metabolism","detoxification","Marine","10.1016/j.cbpc.2019.02.005","7.4e-7","1.07","0.000448","2.17","0.0179","3.12","3.28","10","3.74","44","7.4e-7","10","44"
"19","Mollusca","Mytilus NA","0.00277","fitness","mortality","Marine","10.1016/j.envpol.2016.06.039","0.0016","0.00263","0.0016","0.00277","0.0032","0.0032","0.00292","0.0032","0.000711","94","0.0016","0.0032","94"
"20","Fish","Oncorhynchus mykiss","0.0000098","immune","chemokines.cytokines","Freshwater","10.1016/j.aquaculture.2017.11.005","0.0000056","0.00000801","0.0000098","0.0000098","0.0000112","0.0000112","0.0000116","0.0000112","0.00000259","8","0.000005602","0.0000112","8"
"21","Fish","Oryzias melastigma","0.569","fitness","mortality","Marine","10.1016/j.jhazmat.2018.07.101","0.1","0.357","0.1","0.569","0.5","1","0.781","1","0.39","13","0.1","1","13"
"22","Crustacea","Paracyclopina nana","1.67","metabolism","oxidative.stress","Marine","10.1038/srep41323","1","1.34","1","1.67","2","2","1.99","2","0.5","9","1","2","9"
"23","Crustacea","Parvocalanus crassirostris","0.179","stress","stress","Marine","10.1016/j.ecoenv.2017.03.029","0.0426","0.0485","0.0852","0.179","0.17","0.17","0.309","0.426","0.149","5","0.04259","0.4259","5"
