"","Group","Species","Most Sensitive Concentration mg/L","Min Conc. Broad Endpoint","Min Conc. Specfic Endpoint","Min Environment","DOI","Minimum Effect Concentration","95% Lower CI Effect Concentration","1st Quartile Effect Concentration","Average Effect Concentration","Median Effect Concentration","3rd Quartile Effect Concentration","95% Upper CI Concentration","Maximum Observed Effect Concentration","Std Dev Effect Concentration","Number of doses with Effects","Min Concentration Tested (with or without effects)","Max Concentration Tested (with or without effects)","Total # Doses Considered"
"1","Crustacea","Acartia clausi","3","fitness","mortality","Marine","10.1016/j.jhazmat.2018.07.101","3","","3","3","3","3","","3","","1","3","3","1"
"2","Crustacea","Amphibalanus amphitrite","0.177","behavioral.sense.neuro","nervous.system","Marine","10.1016/j.ecoenv.2017.07.036","0.00005","-0.146","0.00005","0.177","0.00502","0.04","0.5","1","0.404","6","0.00005","1","6"
"3","Crustacea","Artemia franciscana","0.152","behavioral.sense.neuro","nervous.system","Marine","10.1016/j.ecoenv.2017.07.036","0.00005","-0.126","0.000075","0.152","0.0005","0.03","0.429","1","0.375","7","0.00005","1","7"
"4","Crustacea","Ceriodaphnia dubia","0.0669","fitness","mortality","Freshwater","10.1016/j.envpol.2018.04.069","5.49e-7","0.0304","0.000401","0.0669","0.0134","0.1","0.103","0.4","0.104","31","5.49e-7","0.4","31"
"5","Algae","Chlorella pyrenoidosa","72.1","fitness","growth","Freshwater","10.1016/j.chemosphere.2018.05.170","5","44.1","50","72.1","100","100","100","100","37.8","7","5","100","7"
"6","Mollusca","Crassostrea gigas","1.06","behavioral.sense.neuro","feeding","Marine","10.1021/acs.est.5b04099","0.000125","0.292","0.121","1.06","0.121","2.5","1.83","2.5","1.24","10","0.000125","2.5","10"
"7","Mollusca","Crepidula onyx","1.86","fitness","growth","Marine","10.1016/j.envpol.2017.10.095","0.00024","0.139","0.541","1.86","2.04","3.36","3.58","3.36","1.76","4","0.0002402","3.363","4"
"8","Fish","Danio rerio","1","fitness","mortality","Freshwater","10.1016/j.scitotenv.2017.11.103","1","1","1","1","1","1","1","1","0","2","1","1","2"
"9","Crustacea","Daphnia magna","4.96","fitness","mortality","Freshwater","10.1016/j.envpol.2018.04.069","3.75e-7","0.788","0.000856","4.96","0.653","1.3","9.13","46.9","13.8","42","3.75e-7","46.91","42"
"10","Crustacea","Daphnia pulex","0.383","fitness","mortality","Freshwater","10.1016/j.envpol.2018.04.069","3.48e-7","0.0545","9.1e-7","0.383","0.000368","1.01","0.711","1.34","0.627","14","3.48e-7","1.338","14"
"11","Algae","Dunaliella tertiolecta","250","metabolism","photosynthesis","Marine","10.1016/j.aquatox.2015.12.002","250","250","250","250","250","250","250","250","0","2","250","250","2"
"12","Algae","Karenia mikimotoi","57.9","metabolism","photosynthesis","Marine","10.1016/j.envpol.2019.01.114","2.5","25.3","26.2","57.9","50","100","90.4","100","43.9","7","2.5","100","7"
"13","Mollusca","Mytilus galloprovincialis","8.18","fitness","mortality","Marine","10.1016/j.jhazmat.2018.07.101","5","6.69","5","8.18","10","10","9.67","10","2.52","11","5","10","11"
"14","Fish","Oryzias melastigma","1","fitness","mortality","Marine","10.1016/j.jhazmat.2018.07.101","1","","1","1","1","1","","1","","1","1","1","1"
"15","Crustacea","Paracyclopina nana","2","fitness","development","Marine","10.1038/srep41323","2","2","2","2","2","2","2","2","0","3","2","2","3"
"16","Crustacea","Parvocalanus crassirostris","0.179","stress","stress","Marine","10.1016/j.ecoenv.2017.03.029","0.0426","0.0485","0.0852","0.179","0.17","0.17","0.309","0.426","0.149","5","0.04259","0.4259","5"
"17","Mollusca","Pinctada margaritifera","0.0175","metabolism","gen.metabolism","Marine","10.1021/acs.est.8b00168","0.000125","0.00996","0.01","0.0175","0.025","0.025","0.0251","0.025","0.0109","8","0.000125","0.025","8"
"18","Algae","Seletonema costatum","0.5","fitness","growth","Marine","10.1016/j.envpol.2016.11.005","0.5","","0.5","0.5","0.5","0.5","","0.5","","1","0.5","0.5","1"
"19","Algae","Tetraselmis chuii","1.47","fitness","growth","Freshwater","10.1016/j.ecss.2015.07.023","1.47","1.47","1.47","1.47","1.47","1.47","1.47","1.47","0","2","1.47","1.47","2"
"20","Crustacea","Tigriopus fulvus","0.677","fitness","mortality","Marine","10.1016/j.jhazmat.2018.07.101","0.01","0.276","0.288","0.677","1","1","1.08","1","0.501","6","0.01","1","6"
"21","Crustacea","Tigriopus japonicus","2","fitness","reproduction","Marine","10.1021/es401932b","0.00625","1.35","2.5","2","2.5","2.5","2.65","2.5","1.05","10","0.00625","2.5","10"
