"","Group","Species","Most Sensitive Concentration mg/L","Min Conc. Broad Endpoint","Min Conc. Specfic Endpoint","Min Environment","DOI","Minimum Effect Concentration","95% Lower CI Effect Concentration","1st Quartile Effect Concentration","Average Effect Concentration","Median Effect Concentration","3rd Quartile Effect Concentration","95% Upper CI Concentration","Maximum Observed Effect Concentration","Std Dev Effect Concentration","Number of doses with Effects","Min Concentration Tested (with or without effects)","Max Concentration Tested (with or without effects)","Total # Doses Considered"
"1","Fish","Acanthochromis polyacanthus","0.0743","fitness","growth","Marine","10.1371/journal.pone.0193308","0.01","0.0418","0.055","0.0743","0.1","0.1","0.107","0.1","0.0439","7","0.01","0.1","7"
"2","Crustacea","Ceriodaphnia dubia","0.0301","fitness","reproduction","Freshwater","10.1021/acs.est.7b03574","0.00312","0.0168","0.015","0.0301","0.025","0.05","0.0434","0.05","0.0204","9","0.003125","0.05","9"
"3","Algae","Chlorella vulgaris","743","metabolism","photosynthesis","Freshwater","doi.org/10.1016/j.scitotenv.2019.04.401","400","426","400","743","800","800","1060","1600","428","7","400","1600","7"
"4","Mollusca","Crassostrea gigas","0.01","alimentary.excretory","digestive.tract.histo","Marine","10.1016/j.marpolbul.2019.110627","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0","42","0.01","0.01","42"
"5","Fish","Danio rerio","0.75","fitness","mortality","Freshwater","10.1016/j.scitotenv.2017.11.103","0.5","0.26","0.625","0.75","0.75","0.875","1.24","1","0.354","2","0.5","1","2"
"6","Crustacea","Daphnia magna","10","fitness","mortality","Freshwater","10.1016/j.envpol.2016.10.037","10","10","10","10","10","10","10","10","0","2","10","10","2"
"7","Algae","Dunaliella salina","112","metabolism","photosynthesis","Marine","10.1016/j.aquatox.2019.105296","25","76.6","56.2","112","100","138","148","350","85.8","22","25","350","22"
"8","Mollusca","Mytilus galloprovincialis","14800000","fitness","development","Marine","10.1016/j.envpol.2018.06.035","14800000","","14800000","14800000","14800000","14800000","","14800000","","1","14840000","14840000","1"
"9","Mollusca","Pinctada margaritifera","2570","fitness","mortality","Marine","doi.org/10.1016/j.watres.2020.115890","5","1770","1000","2570","1000","5000","3370","5000","2170","28","5","5000","28"
"10","Algae","Seletonema costatum","2000","fitness","growth","Marine","10.1016/j.envpol.2016.11.005","2000","","2000","2000","2000","2000","","2000","","1","2000","2000","1"
