"","Group","Species","Most Sensitive Concentration mg/L","Min Conc. Broad Endpoint","Min Conc. Specfic Endpoint","Min Environment","DOI","Minimum Effect Concentration","95% Lower CI Effect Concentration","1st Quartile Effect Concentration","Average Effect Concentration","Median Effect Concentration","3rd Quartile Effect Concentration","95% Upper CI Concentration","Maximum Observed Effect Concentration","Std Dev Effect Concentration","Number of doses with Effects","Min Concentration Tested (with or without effects)","Max Concentration Tested (with or without effects)","Total # Doses Considered"
"1","Fish","Acanthurus triostegus","0.199","behavioral.sense.neuro","feeding","Marine","doi.org/10.1007/s00128-019-02587-0","0.199","0.199","0.199","0.199","0.199","0.199","0.199","0.199","0","2","0.1993","0.1993","2"
"2","Crustacea","Artemia franciscana","7.5","fitness","growth","Freshwater","10.1016/j.chemosphere.2018.05.172","5","4.67","5","7.5","7.5","10","10.3","10","2.89","4","5","10","4"
"3","Crustacea","Artemia parthenogenetica","0.0441","alimentary.excretory","digestive.tract.histo","Marine","10.1016/j.envpol.2018.10.024","0.000275","0.0226","0.055","0.0441","0.055","0.055","0.0655","0.055","0.0245","5","0.000275","0.055","5"
"4","Crustacea","Calanus finmarchicus","0.052","fitness","mortality","Marine","10.1016/j.envpol.2017.08.088","0.00945","-0.0314","0.0307","0.052","0.052","0.0733","0.135","0.0945","0.0602","2","0.009454","0.09454","2"
"5","Crustacea","Calanus helgolandicus","0.0269","fitness","reproduction","Marine","10.1021/es504525u","0.0168","0.0188","0.0168","0.0269","0.0336","0.0336","0.035","0.0336","0.00921","5","0.01681","0.03362","5"
"6","Fish","Clarias gariepinus","0.0378","metabolism","lipid.metabolism","Freshwater","10.1016/j.envres.2016.07.024","0.0025","0.0334","0.025","0.0378","0.05","0.05","0.0421","0.05","0.0196","77","0.0025","0.05","77"
"7","Mollusca","Crassostrea gigas","0.106","fitness","growth","Marine","10.1021/acs.est.5b04099","0.018","-0.067","0.0622","0.106","0.106","0.151","0.28","0.195","0.125","2","0.018","0.195","2"
"8","Fish","Cyprinodon variegatus","13.7","metabolism","oxidative.stress","Marine","10.1016/j.marpolbul.2018.02.039","2.5","7.54","2.5","13.7","12.5","25","19.8","25","11.3","13","2.5","25","13"
"9","Fish","Danio rerio","0.474","alimentary.excretory","digestive.tract.histo","Freshwater","10.1016/j.chemosphere.2019.07.065","0.0005","0.232","0.001","0.474","0.05","0.1","0.716","8.17","1.63","175","0.0005","8.168","175"
"10","Crustacea","Daphnia magna","130","fitness","mortality","Freshwater","10.1038/s41598-019-47160-1","0.005","97.8","44.1","130","100","236","161","500","133","68","0.005","500","68"
"11","Crustacea","Gammarus pulex","207","behavioral.sense.neuro","feeding","Freshwater","10.1016/j.envpol.2017.11.014","207","207","207","207","207","207","207","207","0","10","206.7","206.7","10"
"12","Crustacea","Hyalella azteca","0.75","fitness","mortality","Freshwater","10.1002/etc.3093","0.00927","0.0465","0.0294","0.75","0.0599","0.899","1.45","3","1.19","11","0.009271","2.997","11"
"13","Fish","Lates calcarifer","4.6","behavioral.sense.neuro","locomotion","Marine","10.1016/j.aquatox.2018.03.011","2.51","3.78","5.02","4.6","5.02","5.02","5.42","5.02","1.02","6","2.509","5.018","6"
"14","Mollusca","Mytilus edulis","208","alimentary.excretory","digestive.tract.histo","Marine","10.1021/es302332w","125","157","156","208","250","250","260","250","64.5","6","125","250","6"
"15","Mollusca","Mytilus galloprovincialis","1.74","metabolism","detoxification","Marine","10.1016/j.cbpc.2019.02.005","0.0025","1.11","0.918","1.74","0.918","1.84","2.37","10","2.65","68","0.002505","10","68"
"16","Mollusca","Mytilus spp","0.0482","metabolism","oxidative.stress","Freshwater","doi.org/10.1016/j.marpolbul.2020.111552","0.025","0.0458","0.05","0.0482","0.05","0.05","0.0506","0.05","0.00656","28","0.025","0.05","28"
"17","Fish","Oncorhynchus mykiss","2.78","immune","chemokines.cytokines","Freshwater","10.1016/j.aquaculture.2017.11.005","0.0896","1.33","0.0896","2.78","0.717","8.17","4.23","8.17","3.62","24","0.08964","8.168","24"
"18","Fish","Oryzias melastigma","0.0412","fitness","body.condition","Marine","10.1016/j.envpol.2019.113024","0.001","0.0318","0.002","0.0412","0.01","0.02","0.0506","0.2","0.0657","189","0.001","0.2","189"
"19","Crustacea","Palaemonetes pugio","0.238","fitness","mortality","Marine","10.1002/etc.3881","0.0122","0.0765","0.0756","0.238","0.147","0.251","0.4","0.7","0.248","9","0.01215","0.6998","9"
"20","Mollusca","Perna viridis","1620","behavioral.sense.neuro","locomotion","Marine","10.1016/j.marpolbul.2016.07.006","1080","1010","1080","1620","1620","2160","2230","2160","624","4","1080","2160","4"
"21","Algae","Raphidocelis subcapitata","65","fitness","growth","Freshwater","10.1016/j.scitotenv.2018.03.176","65","","65","65","65","65","","65","","1","65","65","1"
"22","Mollusca","Scrobicularia plana","0.0571","metabolism","oxidative.stress","Marine","10.1016/j.marpolbul.2017.06.078","0.05","0.0476","0.05","0.0571","0.05","0.05","0.0667","0.1","0.0182","14","0.05","0.1","14"
"23","Fish","Sebastes schlegelii","0.0592","behavioral.sense.neuro","shoaling","Marine","10.1016/j.jhazmat.2019.120861","0.0095","0.0418","0.0095","0.0592","0.019","0.0945","0.0766","0.189","0.0554","39","0.0095","0.1891","39"
