PolymerType,Size_cm,Size_um
PS,0.0512,512
PS,0.0449,449
PS,0.0134,134
PS,0.0032,32
PS,0.012,120
PS,0.014,140
PS,0.0215,215
PS,0.0233,233
PS,0.0208,208
PS,0.0096,96
PS,0.05,500
PS,0.0171,171
PS,0.0136,136
PS,0.0206,206
PS,0.0348,348
PS,0.0117,117
PS,0.0172,172
PS,0.0134,134
PS,0.0132,132
PS,0.0404,404
PS,0.0143,143
PS,0.0168,168
PS,0.0383,383
PS,0.0272,272
PS,0.0317,317
PS,0.0315,315
PS,0.0543,543
PS,0.0226,226
PS,0.0241,241
PS,0.034,340
PS,0.0302,302
PS,0.0403,403
PS,0.028,280
PS,0.0169,169
PS,0.0432,432
PS,0.04,400
PS,0.0182,182
PS,0.0138,138
PS,0.0288,288
PS,0.0294,294
PS,0.037,370
PS,0.0386,386
PS,0.0165,165
PS,0.0436,436
PS,0.0625,625
PS,0.0183,183
PS,0.0255,255
PS,0.0533,533
PS,0.0267,267
PS,0.0289,289
PS,0.0483,483
PS,0.0184,184
PS,0.0228,228
PS,0.0206,206
PS,0.0426,426
PS,0.0588,588
PS,0.0059,59
PS,0.026,260
PS,0.027,270
PS,0.0098,98
PS,0.0179,179
PS,0.0217,217
PS,0.0117,117
PS,0.053,530
PS,0.008,80
PS,0.018,180
PS,0.004,40
PS,0.012,120
PS,0.086,860
PS,0.005,50
PS,0.016,160
PS,0.013,130
PS,0.01,100
PS,0.051,510
PS,0.004,40
PS,0.023,230
PS,0.008,80
PS,0.069,690
PS,0.005,50
PS,0.011,110
PS,0.007,70
PS,0.02,200
PS,0.023,230
PS,0.013,130
PS,0.011,110
PS,0.009,90
PS,0.007,70
PS,0.017,170
PS,0.009,90
PS,0.016,160
PS,0.014,140
PS,0.012,120
PS,0.007,70
PS,0.022,220
PS,0.012,120
PS,0.024,240
PS,0.047,470
PS,0.011,110
PS,0.008,80
PS,0.014,140
PS,0.01,100
PS,0.005,50
PS,0.005,50
PS,0.007,70
PS,0.01,100
PS,0.011,110
PS,0.009,90
PS,0.012,120
PS,0.008,80
PS,0.062,620
PS,0.006,60
PS,0.035,350
PS,0.008,80
PS,0.051,510
PS,0.012,120
PS,0.014,140
PS,0.014,140
PS,0.015,150
PS,0.008,80
PS,0.011,110
PS,0.011,110
PS,0.01,100
PS,0.012,120
PS,0.003,30
PS,0.015,150
PS,0.007,70
PS,0.004,40
PS,0.014,140
PS,0.06,600
PS,0.055,550
PS,0.052,520
PS,0.09,900
PS,0.016,160
PS,0.007,70
PS,0.022,220
PS,0.022,220
PS,0.013,130
PS,0.037,370
PS,0.006,60
PS,0.021,210
PS,0.008,80
PS,0.005,50
PS,0.011,110
PS,0.006,60
PS,0.008,80
PS,0.022,220
PS,0.053,530
PS,0.013,130
PS,0.01,100
PS,0.011,110
PS,0.011,110
PS,0.046,460
PS,0.008,80
PS,0.03,300
PS,0.016,160
PS,0.007,70
PS,0.02,200
PS,0.016,160
PS,0.004,40
PS,0.025,250
PS,0.02,200
PS,0.031,310
PS,0.006,60
PS,0.015,150
PS,0.196,1960
PS,0.009,90
PS,0.006,60
PS,0.006,60
PS,0.027,270
PS,0.025,250
PS,0.038,380
PS,0.004,40
PS,0.013,130
PS,0.022,220
PS,0.017,170
PS,0.011,110
PS,0.036,360
PS,0.012,120
PS,0.016,160
PS,0.022,220
PS,0.016,160
PS,0.014,140
PS,0.009,90
PS,0.017,170
PS,0.027,270
PS,0.009,90
PS,0.009,90
PS,0.018,180
PS,0.016,160
PS,0.009,90
PS,0.028,280
PS,0.012,120
PS,0.022,220
PS,0.004,40
PS,0.036,360
PS,0.007,70
PS,0.01,100
PS,0.021,210
PS,0.006,60
PS,0.017,170
PS,0.014,140
PS,0.048,480
PS,0.017,170
PS,0.014,140
PS,0.021,210
PS,0.014,140
PS,0.016,160
PS,0.023,230
PS,0.022,220
PS,0.008,80
PS,0.021,210
PS,0.014,140
PS,0.015,150
PS,0.01,100
PS,0.005,50
PS,0.003,30
PS,0.003,30
PS,0.006,60
PS,0.025,250
PS,0.016,160
PS,0.017,170
PS,0.022,220
PS,0.026,260
PS,0.018,180
PS,0.014,140
PS,0.016,160
PS,0.01,100
PS,0.025,250
PS,0.005,50
PS,0.009,90
PS,0.01,100
PS,0.022,220
PS,0.006,60
PS,0.042,420
PS,0.005,50
PS,0.03,300
PS,0.023,230
PS,0.013,130
PS,0.01,100
PS,0.006,60
PS,0.007,70
PS,0.016,160
PS,0.015,150
PS,0.007,70
PS,0.017,170
PS,0.007,70
PS,0.015,150
PS,0.018,180
PS,0.012,120
PS,0.032,320
PS,0.014,140
PS,0.052,520
PS,0.014,140
PS,0.005,50
PS,0.026,260
PS,0.029,290
PS,0.01,100
PS,0.016,160
PS,0.019,190
PS,0.008,80
PS,0.009,90
PS,0.019,190
PS,0.03,300
PS,0.018,180
PS,0.023,230
PS,0.007,70
