"","Size","Shape","Density","polymer","size.category","mass.mg","um3"
"1",1.22074493906968,0.890437791890438,0.896556208470858,"PP","1µm < 10µm",1.6309938360189e-09,1.81917633340655
"2",2.49253340031475,0.408305728160205,1.59316763746513,"PE","1µm < 10µm",2.46708683483742e-08,15.4854189654692
"3",1.36254335392216,0.616122665116256,1.33935569416716,"PS","1µm < 10µm",3.38802742805612e-09,2.52959497078397
"4",3.5331653923029,0.332051167927319,1.89075679469715,"PE","1µm < 10µm",8.339261130037e-08,44.1054140512702
"5",5.25692697958633,0.482767115312423,0.951304876397114,"PE","1µm < 10µm",1.38202390984466e-07,145.2766556899
"6",1.02780714489435,0.655077322046707,1.32595123405643,"PE","1µm < 10µm",1.43966832317561e-09,1.08576264812642
"7",1.55544953536166,0.702291491720877,1.03315659907013,"PE","1µm < 10µm",3.8880687046432e-09,3.76329078103219
"8",3.71165338975116,0.395767351297157,0.956977841187056,"PP","1µm < 10µm",4.89332567581587e-08,51.1331136961968
"9",1.60253899402734,0.135877767821525,0.996494716303654,"PE","1µm < 10µm",4.10110433192189e-09,4.11553043365279
"10",1.43159082884119,0.0710489246880219,0.933931962018001,"PS","1µm < 10µm",2.74013500686869e-09,2.93397711857716
"11",6.35117217977757,0.387631424155459,0.994695368447726,"PP","1µm < 10µm",2.54830704884465e-07,256.189696833657
"12",1.42653099416999,0.434238141097457,0.945936161384531,"PP","1µm < 10µm",2.74603117920594e-09,2.90297727405481
"13",1.94605954736324,0.64697574393061,0.950410312126498,"PE","1µm < 10µm",7.00453831287574e-09,7.37001505928889
"14",1.64883095374979,0.248969865552929,0.891225112084122,"PS","1µm < 10µm",3.99499105187738e-09,4.48258357816594
"15",1.06597667421309,0.129818111535062,1.21976316869424,"PS","1µm < 10µm",1.47746982575482e-09,1.21127597854628
"16",3.87069134624125,0.586973064586932,0.940395338433655,"PE","1µm < 10µm",5.45350972832684e-08,57.9916712200035
"17",1.18076706241569,0.434640418679497,1.36754680557997,"PE","1µm < 10µm",2.25130786884017e-09,1.64623825645617
"18",1.02559841592546,0.507689607060535,1.10475239697121,"PS","1µm < 10µm",1.1917824250567e-09,1.07877785857183
"19",1.2633315694502,0.187871307821672,1.39205458847051,"PP","1µm < 10µm",2.80677960933904e-09,2.0162855915176
"20",6.15779958979482,0.30613787579534,0.904415527697831,"PP","1µm < 10µm",2.11176049450881e-07,233.494497809458
"21",3.65442441373373,0.398158480006313,1.02348631688118,"PE","1µm < 10µm",4.99504024468078e-08,48.8041721935464
"22",2.00225675294416,0.837724655249,0.992710099465767,"PS","1µm < 10µm",7.96859475925311e-09,8.02711160442656
"23",1.8254016273856,0.768790240413874,0.906657569650032,"PE","1µm < 10µm",5.51465809868051e-09,6.08240451884073
"24",20.8315994550109,0.446804574321255,1.04487974897352,"PE","10µm < 100µm",9.44570029205936e-06,9039.9879041954
"25",1.87238127634812,0.64233668516434,1.33472921377808,"PE","1µm < 10µm",8.76145096841467e-09,6.56421608066445
"26",2.06511954967341,0.332121477380021,0.963811728147513,"PP","1µm < 10µm",8.48843838779535e-09,8.80715407365968
"27",1.58725209196732,0.368286162195657,1.24462709643959,"PE","1µm < 10µm",4.97710698371702e-09,3.9988740386214
"28",1.69968398720295,0.423053087422327,1.0899379186673,"PE","1µm < 10µm",5.35187930384728e-09,4.91026067832486
"29",1.22234255075268,0.170714418893181,1.11742669982898,"PP","1µm < 10µm",2.04078773117733e-09,1.82632805488688
"30",1.09812620595095,0.438609819043876,1.25640311859798,"PS","1µm < 10µm",1.66374120638995e-09,1.32420970766653
"31",6.95667394745717,0.484249304646769,1.23138389907982,"PE","1µm < 10µm",4.14570520976465e-07,336.670409030249
"32",3.92805148612599,0.227412747445196,1.15255337523219,"PE","1µm < 10µm",6.9854206165048e-08,60.6082179499717
"33",1.99425586247798,0.160665779550712,1.07658883392033,"PP","1µm < 10µm",8.53871470855772e-09,7.93126813090245
"34",2.54351218563876,0.349457431766551,0.920667350203711,"PP","1µm < 10µm",1.51497061729907e-08,16.4551356900389
"35",1.0147677851359,0.525749470845994,1.01572474300562,"PP","1µm < 10µm",1.06139257914667e-09,1.04496083851016
"36",1.46546800891612,0.341692265571296,1.00241661068073,"PP","1µm < 10µm",3.15483958422405e-09,3.14723394505768
"37",2.30646634245158,0.73439075428457,0.994696757915194,"PP","1µm < 10µm",1.22048393376486e-08,12.269909638822
"38",1.15425026498753,0.368564946388738,1.2473112532722,"PE","1µm < 10µm",1.91811565254661e-09,1.53780032651403
"39",1.25268451545551,0.528239512473935,1.05853340253552,"PE","1µm < 10µm",2.08079690999529e-09,1.96573571038111
"40",1.16764312909347,0.582362848997252,1.13204246834736,"PP","1µm < 10µm",1.80215899527062e-09,1.59195352264615
"41",1.09487222993224,0.338046316578198,0.902320315725777,"PP","1µm < 10µm",1.18427089844606e-09,1.31247283010967
"42",1.37015311026861,0.0609835055414481,1.04864396851399,"PP","1µm < 10µm",2.6973379702405e-09,2.5722152143428
"43",1.36902274037481,0.642425477098849,0.980141489818222,"PP","1µm < 10µm",2.51490022537876e-09,2.56585426849462
"44",1.3108929427771,0.691314604294995,0.85769471440774,"PE","1µm < 10µm",1.93212139683029e-09,2.25269127158429
"45",1.10218400995227,0.481477118475101,1.12562545265591,"PS","1µm < 10µm",1.50714911651186e-09,1.33894370721251
"46",1.0918824960521,0.201058902544124,1.14476490273265,"PE","1µm < 10µm",1.49019814204581e-09,1.30175037554749
"47",1.16890385479526,0.596800295686326,1.40873038783087,"PE","1µm < 10µm",2.2499053864456e-09,1.59711567655607
"48",1.44627835139039,0.29803572428926,1.03722064158847,"PE","1µm < 10µm",3.13781119090295e-09,3.02521090025502
"49",1.19947940458526,0.408828479247052,0.986773912346814,"PE","1µm < 10µm",1.70292705607392e-09,1.72575200333773
"50",3.15024369851021,0.699039424921816,0.918142262412413,"PS","1µm < 10µm",2.87040007766711e-08,31.2631298566428
"51",1.02798117271464,0.127665440780631,0.910082375267824,"PE","1µm < 10µm",9.88635465642395e-10,1.08631426397138
"52",1.40971175858027,0.581613829303898,1.25477402900026,"PE","1µm < 10µm",3.51525219411166e-09,2.80150219311794
"53",2.56914827746575,0.495678505142812,1.73455009144426,"PE","1µm < 10µm",2.94140181867386e-08,16.9577219659579
"54",1.07946660155249,0.491335812213278,1.0049259721114,"PE","1µm < 10µm",1.26404257037773e-09,1.25784645382577
"55",1.62287369197994,0.489825391520669,1.66041074127302,"PE","1µm < 10µm",7.09691648190392e-09,4.27419330982091
"56",1.14577712274341,0.382557418376665,1.32251374798365,"PP","1µm < 10µm",1.98930161512439e-09,1.50418218196774
"57",1.08356040969222,0.468971041540075,1.15353856280989,"PS","1µm < 10µm",1.46754525905819e-09,1.27221170264427
"58",2.27801040299736,0.375850651722597,1.01032864944544,"PE","1µm < 10µm",1.19434494945329e-08,11.8213509050629
"59",3.76600926591496,0.487111450323892,1.0108265926223,"PP","1µm < 10µm",5.39909303842516e-08,53.4126533456029
"60",1.31780479426315,0.322758244946531,1.02954671521547,"PP","1µm < 10µm",2.35613031393647e-09,2.28851229294958
"61",1.90315109380919,0.499723978731223,0.929201127104809,"PS","1µm < 10µm",6.40515338950292e-09,6.89318297477749
"62",1.0603661633424,0.720129187484447,0.955725214590218,"PE","1µm < 10µm",1.13946404635831e-09,1.19225068980405
"63",1.32972997918917,0.26082241515576,1.20135276973371,"PE","1µm < 10µm",2.82462588386264e-09,2.3512043714593
"64",1.20763869911,0.34986751752549,1.32727252358966,"PP","1µm < 10µm",2.33760522301847e-09,1.76120968487792
"65",2.69512470401667,0.332977108168188,1.24745815750184,"PE","1µm < 10µm",2.44209515505848e-08,19.5765696859046
"66",1.41918698195817,0.662096911933064,1.24558650018667,"PE","1µm < 10µm",3.56035045581419e-09,2.85837270657688
"67",2.65674045648707,0.376702572587015,1.0776704827328,"PE","1µm < 10µm",2.02084672703616e-08,18.7519910716271
"68",2.6760597899314,0.627206424603535,1.16305274453799,"PP","1µm < 10µm",2.22888082383852e-08,19.1640562674905
"69",2.53531773358938,0.429588316794031,1.02298244259554,"PE","1µm < 10µm",1.66711424516686e-08,16.2966066253984
"70",1.40620267197189,0.318005273861822,1.04478342128739,"PE","1µm < 10µm",2.90515982015131e-09,2.78063353701724
"71",2.28437494804512,0.59834417104329,1.10137559166858,"PS","1µm < 10µm",1.31291803424812e-08,11.920711192256
"72",1.79251079413196,0.317239644923772,1.19472178250924,"PE","1µm < 10µm",6.88100891768725e-09,5.75950737521106
"73",2.07203555654306,0.34939680156889,1.20057283877148,"PE","1µm < 10µm",1.06802181864406e-08,8.89593520820399
"74",1.00036769615871,0.349897851412296,1.68869739707995,"PE","1µm < 10µm",1.69056086474033e-09,1.00110349412725
"75",1.46139045787364,0.621634957628801,1.14536641684576,"PP","1µm < 10µm",3.57473001587858e-09,3.12103617087278
"76",1.15747788918702,0.84129204895809,1.16239207606574,"PP","1µm < 10µm",1.80256424214475e-09,1.55073686345639
"77",1.32448471946827,0.184055393209628,1.34079046687734,"PS","1µm < 10µm",3.11531359334742e-09,2.32349026213088
"78",1.74731755657712,0.276042338002697,1.01051520321734,"PP","1µm < 10µm",5.39086397575997e-09,5.33476780814004
"79",1.2905016734748,0.24302620801808,0.955838519095842,"PE","1µm < 10µm",2.05428286767562e-09,2.14919447860171
