"","authors","year","hcxlcl","doi"
"1","Au","2015",160821.677109191,"10.1002/etc.3093"
"2","Frydkejar","2017",245809.866693105,"10.1007/s00128-017-2186-3"
"3","Gardon","2018",359392.647089278,"10.1021/acs.est.8b00168"
"4","Gerdes","2019",242769.061354621,"10.1038/s41598-019-47160-1"
"5","Heindler","2017",245984.991626061,"10.1016/j.ecoenv.2017.03.029"
"6","Jaikumar","2019",261137.028628687,"10.1016/j.envpol.2019.03.085"
"7","Jaikumar","2018",238800.079628091,"10.1016/j.envpol.2018.04.069"
"8","Kaposi","2014",151464.539085133,"0.1021/es404295e"
"9","Lee","2013",253821.960179847,"10.1021/es401932b"
"10","Lo.Chan","2018",207377.337961912,"10.1016/j.envpol.2017.10.095"
"11","Mao","2018",185673.539294761,"10.1016/j.chemosphere.2018.05.170"
"12","Ogonowski","2016",245724.572086915,"10.1371/journal.pone.0155063"
"13","Rehse","2016",245988.971216633,"10.1016/j.chemosphere.2016.02.133"
"14","Zhang","2017",243269.450763509,"10.1016/j.envpol.2016.11.005"
"15","Zhao","2019",258530.213206441,"10.1016/j.envpol.2019.01.114"
"16","Ziajahromi","2017",248558.296503494,"10.1021/acs.est.7b03574"
"17","Beiras","2018",124362.344477061,"10.1016/j.jhazmat.2018.07.101"
"18","Wang","2019b",536261.419405255,"10.1016/j.envpol.2019.113024"
"19","Zimmermann","2020",250213.992289063,"doi.org/10.1016/j.envpol.2020.115392"
