"","authors","year","hc5","hc10","doi"
"X10.1002.etc.3093","Au","2015",1188.76394785277,4031.66462460737,"10.1002/etc.3093"
"X10.1007.s00128.017.2186.3","Frydkejar","2017",431.71286429538,1717.56919129383,"10.1007/s00128-017-2186-3"
"X10.1021.acs.est.8b00168","Gardon","2018",430.679509468211,1786.30898018643,"10.1021/acs.est.8b00168"
"X10.1038.s41598.019.47160.1","Gerdes","2019",453.760015872465,1732.13350110129,"10.1038/s41598-019-47160-1"
"X10.1016.j.ecoenv.2017.03.029","Heindler","2017",413.929724645746,1449.95130880882,"10.1016/j.ecoenv.2017.03.029"
"X10.1016.j.envpol.2019.03.085","Jaikumar","2019",4.97252003250094,87.1622655614361,"10.1016/j.envpol.2019.03.085"
"X10.1016.j.envpol.2018.04.069","Jaikumar","2018",4.52960263220592,72.5951345175307,"10.1016/j.envpol.2018.04.069"
"X0.1021.es404295e","Kaposi","2014",403.425655221146,1664.24182039179,"0.1021/es404295e"
"X10.1021.es401932b","Lee","2013",481.029906187055,1984.96567737501,"10.1021/es401932b"
"X10.1016.j.scitotenv.2017.11.103","Lei","2018",439.140292653815,1822.84366509261,"10.1016/j.scitotenv.2017.11.103"
"X10.1016.j.envpol.2017.10.095","Lo.Chan","2018",446.536794584026,1506.79380575863,"10.1016/j.envpol.2017.10.095"
"X10.1016.j.envpol.2017.11.029","Murphy.Quin","2018",380.145247250538,1422.40183058126,"10.1016/j.envpol.2017.11.029"
"X10.1371.journal.pone.0155063","Ogonowski","2016",471.277550775068,1724.69551002582,"10.1371/journal.pone.0155063"
"X10.1016.j.chemosphere.2016.02.133","Rehse","2016",471.350754305152,1727.73943889003,"10.1016/j.chemosphere.2016.02.133"
"X10.1016.j.envpol.2019.01.114","Zhao","2019",433.297336821606,1527.73109413686,"10.1016/j.envpol.2019.01.114"
"X10.1021.acs.est.7b03574","Ziajahromi","2017",532.127727347085,2068.90205891028,"10.1021/acs.est.7b03574"
"X10.1016.j.jhazmat.2018.07.101","Beiras","2018",454.757504942242,1256.02302840765,"10.1016/j.jhazmat.2018.07.101"
"X10.1016.j.envpol.2019.113024","Wang","2019b",595.232840362122,2378.00775614052,"10.1016/j.envpol.2019.113024"
"doi.org.10.1016.j.envpol.2020.115392","Zimmermann","2020",471.6250209165,1729.01586294697,"doi.org/10.1016/j.envpol.2020.115392"
