"","authors","year","hc5","hc10","doi"
"X10.1002.etc.3093","Au","2015",902.789313763655,4438.09644398138,"10.1002/etc.3093"
"X10.1007.s00128.017.2186.3","Frydkejar","2017",962.603509913789,4112.88367394811,"10.1007/s00128-017-2186-3"
"X10.1021.acs.est.8b00168","Gardon","2018",1995.52252219332,8467.63535922138,"10.1021/acs.est.8b00168"
"X10.1038.s41598.019.47160.1","Gerdes","2019",946.133499926411,4082.82571078497,"10.1038/s41598-019-47160-1"
"X10.1016.j.ecoenv.2017.03.029","Heindler","2017",876.226575293935,3357.4647539909,"10.1016/j.ecoenv.2017.03.029"
"X10.1016.j.envpol.2019.03.085","Jaikumar","2019",1074.10723597051,5986.46910569629,"10.1016/j.envpol.2019.03.085"
"X10.1016.j.envpol.2018.04.069","Jaikumar","2018",946.006211510858,4181.64223821872,"10.1016/j.envpol.2018.04.069"
"X0.1021.es404295e","Kaposi","2014",777.774271265418,3697.0222803984,"0.1021/es404295e"
"X10.1021.es401932b","Lee","2013",1520.64780787583,6965.35207756488,"10.1021/es401932b"
"X10.1016.j.envpol.2017.10.095","Lo.Chan","2018",758.916945770185,3171.0282191876,"10.1016/j.envpol.2017.10.095"
"X10.1371.journal.pone.0155063","Ogonowski","2016",959.913142679209,4107.62034466931,"10.1371/journal.pone.0155063"
"X10.1016.j.chemosphere.2016.02.133","Rehse","2016",961.627582255291,4110.25152452297,"10.1016/j.chemosphere.2016.02.133"
"X10.1016.j.envpol.2019.01.114","Zhao","2019",957.029021201557,3628.86355722848,"10.1016/j.envpol.2019.01.114"
"X10.1021.acs.est.7b03574","Ziajahromi","2017",926.783101335801,3805.41958376399,"10.1021/acs.est.7b03574"
"X10.1016.j.jhazmat.2018.07.101","Beiras","2018",616.108719466119,2149.45878148594,"10.1016/j.jhazmat.2018.07.101"
"X10.1016.j.envpol.2019.113024","Wang","2019b",2560.89019504865,9956.58210229809,"10.1016/j.envpol.2019.113024"
"doi.org.10.1016.j.envpol.2020.115392","Zimmermann","2020",980.224895290843,4141.06740566606,"doi.org/10.1016/j.envpol.2020.115392"
