"","rowid","source","doi","article","tech.a1","tech.a2","tech.a3","tech.a4","tech.a5","tech.a6","tech.1","tech.2","tech.3","tech.4","tech.5","tech.6","tech.7","tech.8","tech.9","tech.10","tech.11","tech.12","risk.b1","risk.13","risk.14","risk.15","risk.16","risk.17","risk.18","risk.19","risk.20","technical.quality","risk.quality","total.quality","score.source","tech.tier.zero","tech.tier.zero.criteria.failure","risk.tier.zero","risk.tier.zero.criteria.failure","authors","year","genus","species","organism.group","environment","life.stage","invitro.invivo","sex","body.length.cm","body.size.source","max.size.ingest.mm","ingest.size.source","exposure.route","leachate.only","mix","type","negative.control","reference.material","exposure.media","solvent","detergent","media.sal.ppt","media.ph","media.temp","media.temp.min","media.temp.max","exposure.duration.d","treatments","replicates","dosing.frequency","sample.size","dose.particles.mL.nominal","dose.particles.mL.min.nominal","dose.particles.mL.max.nominal","dose.mg.L.nominal","dose.mg.kg.sed.nominal","dose.mg.kg.food.nominal","dose.particles.kg.food.nominal","dose.percent.sed.nominal","dose.particles.m2.nominal","dose.mg.m2.nominal","dose.percent.food.nominal","dose.particles.kg.sed.nominal","chem.add.nominal","chem.add.dose.mg.L.nominal","chem.exp.typ.nominal","dose.particles.mL.measured","dose.mg.L.measured","dose.mg.kg.sed.measured","dose.mg.kg.food.measured","dose.particles.kg.food.measured","dose.particles.kg.food.min.measured","dose.particles.kg.food.max.measured","dose.percent.sed.measured","dose.particles.m2.measured","chem.add.dose.mg.L.measured","dose.particles.mL.master","dose.particles.mL.master.converted.reported","dose.mg.L.master","dose.mg.L.master.converted.reported","effect","effect.metric","af.time","acute.chronic","af.noec","direction","stat.clarity","lvl1","lvl2","lvl3","effect.score","bio.org","target.cell.tissue","polymer","density.g.cm3","density.mg.um.3","density.reported.estimated","shape","charge","zetapotential.mV","zetapotential.media","functional.group","size.length.mm.nominal","size.length.min.mm.nominal","size.length.max.mm.nominal","size.length.mm.measured","size.length.min.mm.measured","size.length.max.mm.measured","size.width.mm.nominal","size.width.min.mm.nominal","size.width.max.mm.nominal","size.width.mm.measured","size.width.min.mm.measured","size.width.max.mm.measured","size.height.mm.nominal","size.height.min.mm.nominal","size.height.max.mm.nominal","size.height.mm.measured","size.height.min.mm.measured","size.height.max.mm.measured","csf","csf.calculated.estimated","size.length.um.used.for.conversions","size.width.um.used.for.conversions","particle.surface.area.um2","particle.volume.um3","mass.per.particle.mg","size.category","weather.biofoul","size.valid","size.valid.method","size.valid.media","shape.valid","shape.valid.method","polymer.valid","polymer.valid.method","particle.source","supplier.part","sodium.azide","contaminant.screen","sol.rinse","clean.method","background.plastics","concentration.valid","particle.behavior","uptake.valid","uptake.valid.method","tissue.distribution","fed","curator","effect_f","size_f","shape_f","poly_f","org_f","lvl1_f","lvl2_f","lvl3_f","bio_f","vivo_f","life_f","env_f","species_f","af.time_noNA","acute.chronic_f","tier_zero_tech_f","tier_zero_risk_f","weather.biofoul_f","treatment_range","max.size.ingest.um","exp_type_f","polydispersity","size.length.min.um.used.for.conversions","size.width.min.um.used.for.conversions","size.height.min.um.used.for.conversions","size.length.max.um.used.for.conversions","size.width.max.um.used.for.conversions","size.height.max.um.used.for.conversions","particle.surface.area.um2.min","particle.surface.area.um2.max","particle.volume.um3.min","particle.volume.um3.max","mass.per.particle.mg.min","mass.per.particle.mg.max","dose.um3.mL.master","dose.um2.mL.master","dose.um2.ug.mL.master","environment.noNA","Species","Group","chem.exp.typ.nominal_f","alpha","a.sa","a.v","a.m","a.ssa","R.ave","p.ave","x2M","EC_mono_p.particles.mL","mu.p.mono","mu.p.poly","EC_poly_p.particles.mL","CF_bio","EC_env_p.particles.mL","x_LL_sa","x_UL_sa","mu.sa.poly","mu.sa.mono","EC_poly_sa.particles.mL","EC_env_sa.particles.mL","x_LL_v","x_UL_v","mu.v.poly","mu.v.mono","EC_poly_v.particles.mL","EC_env_v.particles.mL","x_LL_m","x_UL_m","mu.m.poly","mu.m.mono","EC_poly_m.particles.mL","EC_env_m.particles.mL","mu.ssa.mono","x_LL_ssa","x_UL_ssa","mu.ssa.inverse.poly","mu.ssa.poly","EC_poly_ssa.particles.mL","EC_env_ssa.particles.mL"
"1",13,"Koelmans,Rochman","10.1002/etc.3093",2,2,2,2,2,2,2,1,1,2,2,1,0,0,0,1,0,1,2,"P",2,2,2,2,0,1,0,2,11,11,22,"de Ruijter","Pass",NA,"Pass",NA,"Au",2015,"Hyalella","azteca","Crustacea","Freshwater","Early","invivo",NA,0.78,"Koelmans 2020",0.112,"Koelmans 2020","water","N","N","Lab","Y","N","hard reconstituted water","ethanol",NA,NA,NA,25,NA,NA,10,5,3,2,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Particle Only",1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,1000,"reported",0.599393782,"converted","N","NOEC",10,"acute",1,NA,"Clear","fitness","mortality","mortality",6,"organism",NA,"PE",1.13,1.13e-09,"reported","fragment",NA,NA,NA,NA,NA,NA,NA,NA,0.01,0.027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,"estimated",18.5,NA,1789.791424,530.4369756,5.99e-07,3,"N","Y","laser.measuring.microscope",NA,"Y","microscopy","N",NA,"commercial","cospheric","unknown","N","No","Not Cleaned","N","Y","Not Evaluated","Y","microscopy flourescent particles","gut","Y","LTH,EM","No","1µm < 100µm","Fragment","Polyethylene","Crustacea","Fitness","Mortality","Mortality","Organism","In Vivo","Early","Freshwater","Hyalella azteca","10","Acute","Red Criteria Passed","Red Criteria Passed","No","3-5",112,"Particle Only","monodisperse",10,7.7,5.159,27,20.79,13.9293,721.005908347071,5256.13307185015,207.995948414995,4093.98425265235,0.000235035421708944,0.00462620220549715,530436.9756,1789791.424,2987965649415693,"Freshwater","Hyalella azteca","Crustacea","Particle Only",2.07,1.5,1.48,1.32,1.98,0.77,1.1,112,1000,1,4.32746160982392,231.082350385239,1.00634762240038,232.549173888876,3.14159265358979,39408.1382466304,351.858377202057,1789.791424,5086.68128987647,5118.96962197566,0.35081117965086,492864.449004524,509.685014868067,530.4369756,1040.71526555927,1047.32133309135,3.85892297615946e-07,0.542150893904976,0.00278094131316368,0.000599,50.0898578837568,50.4078093876914,2987965.64941569,1.22833333333333e-07,1.37573333333333e-05,6.01564111796021e-07,1662333.20836646,417.996187456767,420.64946941954
"2",14,"Koelmans,Rochman","10.1002/etc.3093",2,2,2,2,2,2,2,1,1,2,2,1,0,0,0,1,0,1,2,"P",2,2,2,2,0,1,0,2,11,11,22,"de Ruijter","Pass",NA,"Pass",NA,"Au",2015,"Hyalella","azteca","Crustacea","Freshwater","Early","invivo",NA,0.78,"Koelmans 2020",0.112,"Koelmans 2020","water","N","N","Lab","Y","N","hard reconstituted water","ethanol",NA,NA,NA,25,NA,NA,10,5,3,2,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Particle Only",10000,NA,NA,NA,NA,NA,NA,NA,NA,NA,10000,"reported",5.993937824,"converted","Y","LOEC",10,"acute",2,"increase","Clear","fitness","mortality","mortality",6,"organism",NA,"PE",1.13,1.13e-09,"reported","fragment",NA,NA,NA,NA,NA,NA,NA,NA,0.01,0.027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,"estimated",18.5,NA,1789.791424,530.4369756,5.99e-07,3,"N","Y","laser.measuring.microscope",NA,"Y","microscopy","N",NA,"commercial","cospheric","unknown","N","No","Not Cleaned","N","Y","Not Evaluated","Y","microscopy flourescent particles","gut","Y","LTH,EM","Yes","1µm < 100µm","Fragment","Polyethylene","Crustacea","Fitness","Mortality","Mortality","Organism","In Vivo","Early","Freshwater","Hyalella azteca","10","Acute","Red Criteria Passed","Red Criteria Passed","No","3-5",112,"Particle Only","monodisperse",10,7.7,5.159,27,20.79,13.9293,721.005908347071,5256.13307185015,207.995948414995,4093.98425265235,0.000235035421708944,0.00462620220549715,5304369.756,17897914.24,29879656494156924,"Freshwater","Hyalella azteca","Crustacea","Particle Only",2.07,1.5,1.48,1.32,1.98,0.77,1.1,112,10000,1,4.32746160982392,2310.82350385239,1.00634762240038,2325.49173888876,3.14159265358979,39408.1382466304,351.858377202057,1789.791424,50866.8128987647,51189.6962197566,0.35081117965086,492864.449004524,509.685014868067,530.4369756,10407.1526555927,10473.2133309135,3.85892297615946e-07,0.542150893904976,0.00278094131316368,0.000599,500.898578837568,504.078093876913,2987965.64941569,1.22833333333333e-07,1.37573333333333e-05,6.01564111796021e-07,1662333.20836646,4179.96187456767,4206.49469419539
"3",16,"Koelmans,Rochman","10.1002/etc.3093",2,2,2,2,2,2,2,1,1,2,2,1,0,0,0,1,0,1,2,"P",2,2,2,2,0,1,0,2,11,11,22,"de Ruijter","Pass",NA,"Pass",NA,"Au",2015,"Hyalella","azteca","Crustacea","Freshwater","Early","invivo",NA,0.78,"Koelmans 2020",0.112,"Koelmans 2020","water","N","N","Lab","Y","N","hard reconstituted water","ethanol",NA,NA,NA,25,NA,NA,42,3,6,2,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Particle Only",5000,NA,NA,NA,NA,NA,NA,NA,NA,NA,5000,"reported",2.996968912,"converted","N","NOEC",1,"chronic",1,NA,"Clear","fitness","growth","body.mass",3,"organism",NA,"PE",1.13,1.13e-09,"reported","fragment",NA,NA,NA,NA,NA,NA,NA,NA,0.01,0.027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,"estimated",18.5,NA,1789.791424,530.4369756,5.99e-07,3,"N","Y","laser.measuring.microscope",NA,"Y","microscopy","N",NA,"commercial","cospheric","unknown","N","No","Not Cleaned","N","Y","Not Evaluated","Y","microscopy flourescent particles","gut","Y","LTH,EM","No","1µm < 100µm","Fragment","Polyethylene","Crustacea","Fitness","Growth","Body Mass","Organism","In Vivo","Early","Freshwater","Hyalella azteca","1","Chronic","Red Criteria Passed","Red Criteria Passed","No","3-5",112,"Particle Only","monodisperse",10,7.7,5.159,27,20.79,13.9293,721.005908347071,5256.13307185015,207.995948414995,4093.98425265235,0.000235035421708944,0.00462620220549715,2652184.878,8948957.12,14939828247078462,"Freshwater","Hyalella azteca","Crustacea","Particle Only",2.07,1.5,1.48,1.32,1.98,0.77,1.1,112,5000,1,4.32746160982392,1155.41175192619,1.00634762240038,1162.74586944438,3.14159265358979,39408.1382466304,351.858377202057,1789.791424,25433.4064493823,25594.8481098783,0.35081117965086,492864.449004524,509.685014868067,530.4369756,5203.57632779634,5236.60666545673,3.85892297615946e-07,0.542150893904976,0.00278094131316368,0.000599,250.449289418784,252.039046938457,2987965.64941569,1.22833333333333e-07,1.37573333333333e-05,6.01564111796021e-07,1662333.20836646,2089.98093728384,2103.2473470977
"4",17,"Koelmans,Rochman","10.1002/etc.3093",2,2,2,2,2,2,2,1,1,2,2,1,0,0,0,1,0,1,2,"P",2,2,2,2,0,1,0,2,11,11,22,"de Ruijter","Pass",NA,"Pass",NA,"Au",2015,"Hyalella","azteca","Crustacea","Freshwater","Early","invivo",NA,0.78,"Koelmans 2020",0.112,"Koelmans 2020","water","N","N","Lab","Y","N","hard reconstituted water","ethanol",NA,NA,NA,25,NA,NA,42,3,6,2,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Particle Only",10000,NA,NA,NA,NA,NA,NA,NA,NA,NA,10000,"reported",5.993937824,"converted","Y","LOEC",1,"chronic",2,"decrease","Clear","fitness","growth","body.mass",3,"organism",NA,"PE",1.13,1.13e-09,"reported","fragment",NA,NA,NA,NA,NA,NA,NA,NA,0.01,0.027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,"estimated",18.5,NA,1789.791424,530.4369756,5.99e-07,3,"N","Y","laser.measuring.microscope",NA,"Y","microscopy","N",NA,"commercial","cospheric","unknown","N","No","Not Cleaned","N","Y","Not Evaluated","Y","microscopy flourescent particles","gut","Y","LTH,EM","Yes","1µm < 100µm","Fragment","Polyethylene","Crustacea","Fitness","Growth","Body Mass","Organism","In Vivo","Early","Freshwater","Hyalella azteca","1","Chronic","Red Criteria Passed","Red Criteria Passed","No","3-5",112,"Particle Only","monodisperse",10,7.7,5.159,27,20.79,13.9293,721.005908347071,5256.13307185015,207.995948414995,4093.98425265235,0.000235035421708944,0.00462620220549715,5304369.756,17897914.24,29879656494156924,"Freshwater","Hyalella azteca","Crustacea","Particle Only",2.07,1.5,1.48,1.32,1.98,0.77,1.1,112,10000,1,4.32746160982392,2310.82350385239,1.00634762240038,2325.49173888876,3.14159265358979,39408.1382466304,351.858377202057,1789.791424,50866.8128987647,51189.6962197566,0.35081117965086,492864.449004524,509.685014868067,530.4369756,10407.1526555927,10473.2133309135,3.85892297615946e-07,0.542150893904976,0.00278094131316368,0.000599,500.898578837568,504.078093876913,2987965.64941569,1.22833333333333e-07,1.37573333333333e-05,6.01564111796021e-07,1662333.20836646,4179.96187456767,4206.49469419539
"5",19,"Koelmans,Rochman","10.1002/etc.3093",2,2,2,2,2,2,2,1,1,2,2,1,0,0,0,1,0,1,2,"P",2,2,2,2,0,1,0,2,11,11,22,"de Ruijter","Pass",NA,"Pass",NA,"Au",2015,"Hyalella","azteca","Crustacea","Freshwater","Early","invivo",NA,0.78,"Koelmans 2020",0.112,"Koelmans 2020","water","N","N","Lab","Y","N","hard reconstituted water","ethanol",NA,NA,NA,25,NA,NA,42,3,6,2,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Particle Only",5000,NA,NA,NA,NA,NA,NA,NA,NA,NA,5000,"reported",2.996968912,"converted","Y","LOEC",1,"chronic",2,"decrease","Clear","fitness","reproduction","fecundity",4,"organism",NA,"PE",1.13,1.13e-09,"reported","fragment",NA,NA,NA,NA,NA,NA,NA,NA,0.01,0.027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,"estimated",18.5,NA,1789.791424,530.4369756,5.99e-07,3,"N","Y","laser.measuring.microscope",NA,"Y","microscopy","N",NA,"commercial","cospheric","unknown","N","No","Not Cleaned","N","Y","Not Evaluated","Y","microscopy flourescent particles","gut","Y","LTH,EM","Yes","1µm < 100µm","Fragment","Polyethylene","Crustacea","Fitness","Reproduction","Fecundity","Organism","In Vivo","Early","Freshwater","Hyalella azteca","1","Chronic","Red Criteria Passed","Red Criteria Passed","No","3-5",112,"Particle Only","monodisperse",10,7.7,5.159,27,20.79,13.9293,721.005908347071,5256.13307185015,207.995948414995,4093.98425265235,0.000235035421708944,0.00462620220549715,2652184.878,8948957.12,14939828247078462,"Freshwater","Hyalella azteca","Crustacea","Particle Only",2.07,1.5,1.48,1.32,1.98,0.77,1.1,112,5000,1,4.32746160982392,1155.41175192619,1.00634762240038,1162.74586944438,3.14159265358979,39408.1382466304,351.858377202057,1789.791424,25433.4064493823,25594.8481098783,0.35081117965086,492864.449004524,509.685014868067,530.4369756,5203.57632779634,5236.60666545673,3.85892297615946e-07,0.542150893904976,0.00278094131316368,0.000599,250.449289418784,252.039046938457,2987965.64941569,1.22833333333333e-07,1.37573333333333e-05,6.01564111796021e-07,1662333.20836646,2089.98093728384,2103.2473470977
"6",22,"Koelmans,Rochman","10.1002/etc.3093",2,2,2,2,2,2,2,1,1,2,2,1,0,0,0,1,0,1,2,"P",2,2,2,2,0,1,0,2,11,11,22,"de Ruijter","Pass",NA,"Pass",NA,"Au",2015,"Hyalella","azteca","Crustacea","Freshwater","Early","invivo",NA,0.78,"Koelmans 2020",0.112,"Koelmans 2020","water","N","N","Lab","Y","N","hard reconstituted water","ethanol",NA,NA,NA,25,NA,NA,10,5,3,2,10,46000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Particle Only",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4600,"reported",27.57211399,"converted",NA,"LC50",10,"acute",10,NA,"Clear","fitness","mortality","mortality",6,"organism",NA,"PE",1.13,1.13e-09,"reported","fragment",NA,NA,NA,NA,NA,NA,NA,NA,0.01,0.027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,"estimated",18.5,NA,1789.791424,530.4369756,5.99e-07,3,"N","Y","laser.measuring.microscope",NA,"Y","microscopy","N",NA,"commercial","cospheric","unknown","N","No","Not Cleaned","N","Y","Not Evaluated","Y","microscopy flourescent particles","gut","Y","LTH,EM",NA,"1µm < 100µm","Fragment","Polyethylene","Crustacea","Fitness","Mortality","Mortality","Organism","In Vivo","Early","Freshwater","Hyalella azteca","10","Acute","Red Criteria Passed","Red Criteria Passed","No","3-5",112,"Particle Only","monodisperse",10,7.7,5.159,27,20.79,13.9293,721.005908347071,5256.13307185015,207.995948414995,4093.98425265235,0.000235035421708944,0.00462620220549715,2440010.08776,8233040.5504,13744641987312188,"Freshwater","Hyalella azteca","Crustacea","Particle Only",2.07,1.5,1.48,1.32,1.98,0.77,1.1,112,4600,1,4.32746160982392,1062.9788117721,1.00634762240038,1069.72619988883,3.14159265358979,39408.1382466304,351.858377202057,1789.791424,23398.7339334318,23547.260261088,0.35081117965086,492864.449004524,509.685014868067,530.4369756,4787.29022157263,4817.67813222019,3.85892297615946e-07,0.542150893904976,0.00278094131316368,0.000599,230.413346265281,231.87592318338,2987965.64941569,1.22833333333333e-07,1.37573333333333e-05,6.01564111796021e-07,1662333.20836646,1922.78246230113,1934.98755932988
"7",23,"Koelmans,Rochman","10.1002/etc.3093",2,2,2,2,2,2,2,1,1,2,2,1,0,0,0,1,0,1,2,"P",2,2,2,2,0,1,0,2,11,11,22,"de Ruijter","Pass",NA,"Pass",NA,"Au",2015,"Hyalella","azteca","Crustacea","Freshwater","Early","invivo",NA,0.78,"Koelmans 2020",0.112,"Koelmans 2020","water","N","N","Lab","Y","N","hard reconstituted water","ethanol",NA,NA,NA,25,NA,NA,10,3,3,2,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Particle Only",22.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.5,"reported",0.293788,"converted","N","NOEC",10,"acute",1,NA,"Clear","fitness","growth","body.mass",3,"organism",NA,"PP",0.875,8.75e-10,"estimated","fiber",NA,NA,NA,NA,NA,NA,NA,NA,0.02,0.075,NA,NA,NA,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.5,20,2493.768636,14922.5651,1.31e-05,3,"N","Y","laser.measuring.microscope",NA,"Y","microscopy","Y","FTIR","lab",NA,"N","N","No","Not Cleaned","N","Y","Not Evaluated","Y","microscopy","gut","Y","LTH,EM","No","1µm < 100µm","Fiber","Polypropylene","Crustacea","Fitness","Growth","Body Mass","Organism","In Vivo","Early","Freshwater","Hyalella azteca","10","Acute","Red Criteria Passed","Red Criteria Passed","No","3-5",112,"Particle Only","monodisperse",20,15.4,15.4,75,57.75,57.75,3588.65163867855,50465.4136689171,1663.96758731996,87748.290737576,0.00145597163890497,0.076779754395379,335757.71475,56109.79431,4283190405343.51,"Freshwater","Hyalella azteca","Crustacea","Particle Only",2.07,1.5,1.48,1.32,1.98,0.77,1.1,112,22.5,1,4.32746160982392,5.19935288366787,1.00634762240038,5.2323564124997,3.14159265358979,39408.1382466304,351.858377202057,2493.768636,159.466984291179,160.479220492786,0.35081117965086,492864.449004524,509.685014868067,14922.5651,658.755319374872,662.936849396503,3.85892297615946e-07,0.542150893904976,0.00278094131316368,0.0131,24.6477222224329,24.8041766561303,190364.018015267,1.22833333333333e-07,1.37573333333333e-05,6.01564111796021e-07,1662333.20836646,0.59918937151607,0.602992799392772
"8",24,"Koelmans,Rochman","10.1002/etc.3093",2,2,2,2,2,2,2,1,1,2,2,1,0,0,0,1,0,1,2,"P",2,2,2,2,0,1,0,2,11,11,22,"de Ruijter","Pass",NA,"Pass",NA,"Au",2015,"Hyalella","azteca","Crustacea","Freshwater","Early","invivo",NA,0.78,"Koelmans 2020",0.112,"Koelmans 2020","water","N","N","Lab","Y","N","hard reconstituted water","ethanol",NA,NA,NA,25,NA,NA,10,3,3,2,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Particle Only",45,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,"reported",0.587576001,"converted","Y","LOEC",10,"acute",2,"decrease","Clear","fitness","growth","body.mass",3,"organism",NA,"PP",0.875,8.75e-10,"estimated","fiber",NA,NA,NA,NA,NA,NA,NA,NA,0.02,0.075,NA,NA,NA,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.5,20,2493.768636,14922.5651,1.31e-05,3,"N","Y","laser.measuring.microscope",NA,"Y","microscopy","Y","FTIR","lab",NA,"N","N","No","Not Cleaned","N","Y","Not Evaluated","Y","microscopy","gut","Y","LTH,EM","Yes","1µm < 100µm","Fiber","Polypropylene","Crustacea","Fitness","Growth","Body Mass","Organism","In Vivo","Early","Freshwater","Hyalella azteca","10","Acute","Red Criteria Passed","Red Criteria Passed","No","3-5",112,"Particle Only","monodisperse",20,15.4,15.4,75,57.75,57.75,3588.65163867855,50465.4136689171,1663.96758731996,87748.290737576,0.00145597163890497,0.076779754395379,671515.4295,112219.58862,8566380810687.02,"Freshwater","Hyalella azteca","Crustacea","Particle Only",2.07,1.5,1.48,1.32,1.98,0.77,1.1,112,45,1,4.32746160982392,10.3987057673357,1.00634762240038,10.4647128249994,3.14159265358979,39408.1382466304,351.858377202057,2493.768636,318.933968582357,320.958440985571,0.35081117965086,492864.449004524,509.685014868067,14922.5651,1317.51063874974,1325.87369879301,3.85892297615946e-07,0.542150893904976,0.00278094131316368,0.0131,49.2954444448658,49.6083533122605,190364.018015267,1.22833333333333e-07,1.37573333333333e-05,6.01564111796021e-07,1662333.20836646,1.19837874303214,1.20598559878554
"9",26,"Koelmans,Rochman","10.1002/etc.3093",2,2,2,2,2,2,2,1,1,2,2,1,0,0,0,1,0,1,2,"P",2,2,2,2,0,1,0,2,11,11,22,"de Ruijter","Pass",NA,"Pass",NA,"Au",2015,"Hyalella","azteca","Crustacea","Freshwater","Early","invivo",NA,0.78,"Koelmans 2020",0.112,"Koelmans 2020","water","N","N","Lab","Y","N","hard reconstituted water","ethanol",NA,NA,NA,25,NA,NA,10,3,3,2,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Particle Only",22.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.5,"reported",0.293788,"converted","N","NOEC",10,"acute",1,NA,"Clear","fitness","mortality","mortality",6,"organism",NA,"PP",0.875,8.75e-10,"estimated","fiber",NA,NA,NA,NA,NA,NA,NA,NA,0.02,0.075,NA,NA,NA,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.5,20,2493.768636,14922.5651,1.31e-05,3,"N","Y","laser.measuring.microscope",NA,"Y","microscopy","Y","FTIR","lab",NA,"N","N","No","Not Cleaned","N","Y","Not Evaluated","Y","microscopy","gut","Y","LTH,EM","No","1µm < 100µm","Fiber","Polypropylene","Crustacea","Fitness","Mortality","Mortality","Organism","In Vivo","Early","Freshwater","Hyalella azteca","10","Acute","Red Criteria Passed","Red Criteria Passed","No","3-5",112,"Particle Only","monodisperse",20,15.4,15.4,75,57.75,57.75,3588.65163867855,50465.4136689171,1663.96758731996,87748.290737576,0.00145597163890497,0.076779754395379,335757.71475,56109.79431,4283190405343.51,"Freshwater","Hyalella azteca","Crustacea","Particle Only",2.07,1.5,1.48,1.32,1.98,0.77,1.1,112,22.5,1,4.32746160982392,5.19935288366787,1.00634762240038,5.2323564124997,3.14159265358979,39408.1382466304,351.858377202057,2493.768636,159.466984291179,160.479220492786,0.35081117965086,492864.449004524,509.685014868067,14922.5651,658.755319374872,662.936849396503,3.85892297615946e-07,0.542150893904976,0.00278094131316368,0.0131,24.6477222224329,24.8041766561303,190364.018015267,1.22833333333333e-07,1.37573333333333e-05,6.01564111796021e-07,1662333.20836646,0.59918937151607,0.602992799392772
"10",27,"Koelmans,Rochman","10.1002/etc.3093",2,2,2,2,2,2,2,1,1,2,2,1,0,0,0,1,0,1,2,"P",2,2,2,2,0,1,0,2,11,11,22,"de Ruijter","Pass",NA,"Pass",NA,"Au",2015,"Hyalella","azteca","Crustacea","Freshwater","Early","invivo",NA,0.78,"Koelmans 2020",0.112,"Koelmans 2020","water","N","N","Lab","Y","N","hard reconstituted water","ethanol",NA,NA,NA,25,NA,NA,10,3,3,2,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Particle Only",45,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,"reported",0.587576001,"converted","Y","LOEC",10,"acute",2,"increase","Clear","fitness","mortality","mortality",6,"organism",NA,"PP",0.875,8.75e-10,"estimated","fiber",NA,NA,NA,NA,NA,NA,NA,NA,0.02,0.075,NA,NA,NA,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.5,20,2493.768636,14922.5651,1.31e-05,3,"N","Y","laser.measuring.microscope",NA,"Y","microscopy","Y","FTIR","lab",NA,"N","N","No","Not Cleaned","N","Y","Not Evaluated","Y","microscopy","gut","Y","LTH,EM","Yes","1µm < 100µm","Fiber","Polypropylene","Crustacea","Fitness","Mortality","Mortality","Organism","In Vivo","Early","Freshwater","Hyalella azteca","10","Acute","Red Criteria Passed","Red Criteria Passed","No","3-5",112,"Particle Only","monodisperse",20,15.4,15.4,75,57.75,57.75,3588.65163867855,50465.4136689171,1663.96758731996,87748.290737576,0.00145597163890497,0.076779754395379,671515.4295,112219.58862,8566380810687.02,"Freshwater","Hyalella azteca","Crustacea","Particle Only",2.07,1.5,1.48,1.32,1.98,0.77,1.1,112,45,1,4.32746160982392,10.3987057673357,1.00634762240038,10.4647128249994,3.14159265358979,39408.1382466304,351.858377202057,2493.768636,318.933968582357,320.958440985571,0.35081117965086,492864.449004524,509.685014868067,14922.5651,1317.51063874974,1325.87369879301,3.85892297615946e-07,0.542150893904976,0.00278094131316368,0.0131,49.2954444448658,49.6083533122605,190364.018015267,1.22833333333333e-07,1.37573333333333e-05,6.01564111796021e-07,1662333.20836646,1.19837874303214,1.20598559878554
