"","Paper","doi","lab.field","Polymer","Shape","Size (µm)","Species","Organisms","Tissue translocation observed (Y/N)","Uptake (%)","Tissue","Exposure_route","Notes","Pass_all_red_criteria","Uptake_kinetic_constant(mL/g-h)","BCF(mL/g)","size.um","size.nm","translocated_10","article","Test Medium Reported*","Administration Route Reported*","Test Species Reported*","Sample Size Reported*","Control Group Reported*","Exposure Duration Reported*","Particle Size*","Particle Shape*","Polymer Type*","Source of Microplastics*","Data Reporting*","Chemical Purity","Laboratory Preparation","Background Contamination","Exposure Verification","Exposure Homogeneity","Exposure Assessment","Replication","risk.b1","Endpoints","Food Availability","Effect Thresholds","Dose Response","Concentration Range","Risk Assessment","Microplastic Diversity","Exposure Time","technical.quality","risk.quality","total.quality","score.source","tech.tier.zero","tech.tier.zero.criteria.failure","risk.tier.zero","risk.tier.zero.criteria.failure"
"1","Abassi et al, 2018","10.1016/j.chemosphere.2018.04.076","Field","uncharacterized","Fiber, fragment",100,"Multiple species","Fish","Y","NA","muscle, skin, liver","not_reported","No chemical identification of particles; No QA/QC","unscored",3,326,100,1e+05,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Abassi et al, 2018","10.1016/j.chemosphere.2018.04.077","Field","uncharacterized","Fiber, fragment",100,"Penaeus semisulcatus","Shrimp","Y","NA","exoskeleton, muscle","not_reported","No chemical identification of particles; No QA/QC","unscored",6.5,1192,100,1e+05,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Akhbarizadeh et al, 2018","10.1016/j.envpol.2017.09.028","Field","uncharacterized","Fiber, fragment, pellet",100,"Multiple species","Fish","Y","NA","Muscle","not_reported","No chemical identification of particles",NA,NA,NA,100,1e+05,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Al-Sid-Cheikh, M. et al 2018","10.1021/acs.est.8b05266","Lab","PS","Sphere",0.25,"Pecten maximus","Mollusk","Y","0.15","Whole Body","Water","high-quality study. Used autoradiogrpahy",NA,NA,NA,0.25,250,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Al-Sid-Cheikh, M. et al 2018","10.1021/acs.est.8b05266","Lab","PS","Sphere",0.024,"Pecten maximus","Mollusk","Y","0.3","Whole Body","Water","high-quality study. Used autoradiogrpahy",NA,NA,NA,0.024,24,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Brennecke et al, 2015","10.1016/j.marpolbul.2015.05.001","Lab","PS","Fragment",70,"Uca rapax","Crab","Y","NA","Hepatopancreas","Sediment",NA,NA,NA,NA,70,70000,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Browne et al, 2008","10.1021/es800249a","Lab","PS","Sphere",3,"Mytilus edulis","Mussel","Y","NA","Circulatory system","Water","Can be due to sampling protocol",NA,NA,NA,3,3000,1,10,2,2,2,0,2,2,1,1,1,2,0,1,0,0,1,0,1,2,"F",2,2,0,0,0,1,0,2,10,7,17,"de Ruijter","Fail","A4,5","Fail","B1"
"8","Browne et al, 2008","10.1021/es800249a","Lab","PS","Sphere",9.6,"Mytilus edulis","Mussel","Y","NA","Circulatory system","Water","Can be due to sampling protocol",NA,NA,NA,9.6,9600,1,10,2,2,2,0,2,2,1,1,1,2,0,1,0,0,1,0,1,2,"F",2,2,0,0,0,1,0,2,10,7,17,"de Ruijter","Fail","A4,5","Fail","B1"
"9","Brun et al, 2018","10.1039/C8EN00002F","Lab","PS","Sphere",0.025,"Danio rerio","Fish","Y","NA","Skin","Water","""NP […] accumulates in the cavities of lateral neuromasts"". So from what I understand it is under the skin, to confirm?",NA,NA,NA,0.025,25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Collard et al, 2017","10.1016/j.envpol.2017.07.089","Field","PE, Cotton, ABS","Fragment",39,"Engraulis encrasicolus","Fish","Y","NA","Liver","field","Chemical identification but poor contamination prevention",NA,NA,NA,39,39000,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
