,Assigned,Paper,doi,lab.field,Polymer,Shape,Size (µm),Species,Organisms,Tissue translocation observed (Y/N),Uptake (%),Tissue,Exposure_route,Notes,Pass_all_red_criteria,Uptake_kinetic_constant(mL/g-h),BCF(mL/g),size.um,translocated_10,article,Test Medium Reported*,Administration Route Reported*,Test Species Reported*,Sample Size Reported*,Control Group Reported*,Exposure Duration Reported*,Particle Size*,Particle Shape*,Polymer Type*,Source of Microplastics*,Data Reporting*,Chemical Purity,Laboratory Preparation,Background Contamination,Exposure Verification,Exposure Homogeneity,Exposure Assessment,Replication,risk.b1,Endpoints,Food Availability,Effect Thresholds,Dose Response,Concentration Range,Risk Assessment,Microplastic Diversity,Exposure Time,technical.quality,risk.quality,total.quality,score.source,tech.tier.zero,tech.tier.zero.criteria.failure,risk.tier.zero,risk.tier.zero.criteria.failure
1,Scott,"Al-Sid-Cheikh, M. et al 2018",10.1021/acs.est.8b05266,Lab,PS,Sphere,0.25,Pecten maximus,Mollusk,Y,0.15,Whole Body,Water,high-quality study. Used autoradiogrpahy,unscored,3,326,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,Scott,"Al-Sid-Cheikh, M. et al 2018",10.1021/acs.est.8b05266,Lab,PS,Sphere,0.024,Pecten maximus,Mollusk,Y,0.3,Whole Body,Water,high-quality study. Used autoradiogrpahy,unscored,6.5,1192,0.024,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,,"Sussarellu et al, 2016",10.1073/pnas.1519019113,Lab,PS,Sphere,2,Crassostrea gigas,Oyster,N,NA,NA,Water,NA,NA,NA,NA,2,0,93,2,2,2,2,2,2,1,1,1,2,2,1,0,0,2,1,1,2,F,2,2,0,0,1,1,0,2,14,8,22,de Ruijter,Pass,NA,Fail,B1
4,,"Sussarellu et al, 2016",10.1073/pnas.1519019113,Lab,PS,Sphere,6,Crassostrea gigas,Oyster,N,NA,NA,Water,NA,NA,NA,NA,6,0,93,2,2,2,2,2,2,1,1,1,2,2,1,0,0,2,1,1,2,F,2,2,0,0,1,1,0,2,14,8,22,de Ruijter,Pass,NA,Fail,B1
5,Scott,"Kim et al, 2020",10.1371/journal.pone.0239128,Lab,PE,Sphere,20,Oncorhynchus mykiss,Fish,N,NA,NA,Food,NA,NA,NA,NA,20,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,Scott,"Kim et al, 2020",10.1371/journal.pone.0239128,Lab,PE,Sphere,32,Oncorhynchus mykiss,Fish,N,NA,NA,Food,NA,NA,NA,NA,32,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,Scott,"Kim et al, 2020",10.1371/journal.pone.0239128,Lab,PE,Sphere,75,Oncorhynchus mykiss,Fish,N,NA,NA,Food,NA,NA,NA,NA,75,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,Scott,"Kim et al, 2020",10.1371/journal.pone.0239128,Lab,PE,Sphere,150,Oncorhynchus mykiss,Fish,N,NA,NA,Food,NA,NA,NA,NA,150,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,Scott,"Kim et al, 2020",10.1371/journal.pone.0239128,Lab,PE,Sphere,300,Oncorhynchus mykiss,Fish,N,NA,NA,Food,NA,NA,NA,NA,300,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,Scott,"Zeytin et al, 2020",10.1016/j.marpolbul.2020.111210,Lab,Propretary composition (cospheric),Sphere,5,Dicentrarchus labrax,Fish,Y,5.30E-06,Fillet,Food,Size verified and control for potential dye leaching,NA,NA,NA,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,,"Browne et al, 2008",10.1021/es800249a,Lab,PS,Sphere,3,Mytilus edulis,Mussel,Y,NA,Circulatory system,Water,Can be due to sampling protocol,NA,NA,NA,3,1,10,2,2,2,0,2,2,1,1,1,2,0,1,0,0,1,0,1,2,F,2,2,0,0,0,1,0,2,10,7,17,de Ruijter,Fail,"A4,5",Fail,B1
12,,"Browne et al, 2008",10.1021/es800249a,Lab,PS,Sphere,9.6,Mytilus edulis,Mussel,Y,NA,Circulatory system,Water,Can be due to sampling protocol,NA,NA,NA,9.6,1,10,2,2,2,0,2,2,1,1,1,2,0,1,0,0,1,0,1,2,F,2,2,0,0,0,1,0,2,10,7,17,de Ruijter,Fail,"A4,5",Fail,B1
13,Scott,"De Sales-Ribeiro et al, 2020",10.1038/s41598-020-69062-3,Lab,Propretary composition (cospheric),Sphere,1.634,Danio rerio,Fish,Y,NA,Liver,Food,No control for dye leaching from fluorescent spheres,NA,NA,NA,1.634,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
